provincia,anio,semana_epi,casos_real,pred,horizonte
Buenos Aires,2019,1,0.0,,t+2
Buenos Aires,2019,2,0.0,,t+2
Buenos Aires,2019,3,0.0,,t+2
Buenos Aires,2019,4,0.0,,t+2
Buenos Aires,2019,5,0.0,,t+2
Buenos Aires,2019,6,1.0,,t+2
Buenos Aires,2019,7,3.0,,t+2
Buenos Aires,2019,8,0.0,,t+2
Buenos Aires,2019,9,8.0,,t+2
Buenos Aires,2019,10,0.0,,t+2
Buenos Aires,2019,11,2.0,,t+2
Buenos Aires,2019,12,7.0,,t+2
Buenos Aires,2019,13,8.0,,t+2
Buenos Aires,2019,14,6.0,,t+2
Buenos Aires,2019,15,5.0,,t+2
Buenos Aires,2019,16,8.0,,t+2
Buenos Aires,2019,17,3.0,,t+2
Buenos Aires,2019,18,4.0,,t+2
Buenos Aires,2019,19,3.0,,t+2
Buenos Aires,2019,20,0.0,,t+2
Buenos Aires,2019,21,1.0,,t+2
Buenos Aires,2019,22,0.0,,t+2
Buenos Aires,2019,23,1.0,,t+2
Buenos Aires,2019,24,0.0,,t+2
Buenos Aires,2019,25,0.0,,t+2
Buenos Aires,2019,26,1.0,,t+2
Buenos Aires,2019,27,0.0,,t+2
Buenos Aires,2019,28,0.0,,t+2
Buenos Aires,2019,29,0.0,,t+2
Buenos Aires,2019,30,0.0,,t+2
Buenos Aires,2019,31,0.0,,t+2
Buenos Aires,2019,32,0.0,,t+2
Buenos Aires,2019,33,0.0,,t+2
Buenos Aires,2019,34,0.0,,t+2
Buenos Aires,2019,35,0.0,,t+2
Buenos Aires,2019,36,0.0,,t+2
Buenos Aires,2019,37,0.0,,t+2
Buenos Aires,2019,38,0.0,,t+2
Buenos Aires,2019,39,0.0,,t+2
Buenos Aires,2019,40,0.0,,t+2
Buenos Aires,2019,41,0.0,,t+2
Buenos Aires,2019,42,0.0,,t+2
Buenos Aires,2019,43,0.0,,t+2
Buenos Aires,2019,44,0.0,,t+2
Buenos Aires,2019,45,0.0,,t+2
Buenos Aires,2019,46,0.0,,t+2
Buenos Aires,2019,47,0.0,,t+2
Buenos Aires,2019,48,0.0,,t+2
Buenos Aires,2019,49,0.0,,t+2
Buenos Aires,2019,50,0.0,,t+2
Buenos Aires,2019,51,0.0,,t+2
Buenos Aires,2019,52,0.0,,t+2
Buenos Aires,2020,1,0.0,,t+2
Buenos Aires,2020,2,1.0,,t+2
Buenos Aires,2020,3,4.0,,t+2
Buenos Aires,2020,4,8.0,,t+2
Buenos Aires,2020,5,17.0,,t+2
Buenos Aires,2020,6,20.0,,t+2
Buenos Aires,2020,7,77.0,,t+2
Buenos Aires,2020,8,157.0,,t+2
Buenos Aires,2020,9,267.0,,t+2
Buenos Aires,2020,10,504.0,,t+2
Buenos Aires,2020,11,969.0,,t+2
Buenos Aires,2020,12,642.0,,t+2
Buenos Aires,2020,13,534.0,,t+2
Buenos Aires,2020,14,779.0,,t+2
Buenos Aires,2020,15,687.0,,t+2
Buenos Aires,2020,16,457.0,,t+2
Buenos Aires,2020,17,330.0,,t+2
Buenos Aires,2020,18,292.0,,t+2
Buenos Aires,2020,19,176.0,,t+2
Buenos Aires,2020,20,141.0,,t+2
Buenos Aires,2020,21,84.0,,t+2
Buenos Aires,2020,22,49.0,,t+2
Buenos Aires,2020,23,11.0,,t+2
Buenos Aires,2020,24,11.0,,t+2
Buenos Aires,2020,25,0.0,,t+2
Buenos Aires,2020,26,0.0,,t+2
Buenos Aires,2020,27,1.0,,t+2
Buenos Aires,2020,28,0.0,,t+2
Buenos Aires,2020,29,0.0,,t+2
Buenos Aires,2020,30,1.0,,t+2
Buenos Aires,2020,31,0.0,,t+2
Buenos Aires,2020,32,1.0,,t+2
Buenos Aires,2020,33,0.0,,t+2
Buenos Aires,2020,34,0.0,,t+2
Buenos Aires,2020,35,0.0,,t+2
Buenos Aires,2020,36,1.0,,t+2
Buenos Aires,2020,37,0.0,,t+2
Buenos Aires,2020,38,0.0,,t+2
Buenos Aires,2020,39,1.0,,t+2
Buenos Aires,2020,40,1.0,,t+2
Buenos Aires,2020,41,0.0,,t+2
Buenos Aires,2020,42,0.0,,t+2
Buenos Aires,2020,43,0.0,,t+2
Buenos Aires,2020,44,1.0,,t+2
Buenos Aires,2020,45,1.0,,t+2
Buenos Aires,2020,46,0.0,,t+2
Buenos Aires,2020,47,2.0,,t+2
Buenos Aires,2020,48,2.0,,t+2
Buenos Aires,2020,49,0.0,,t+2
Buenos Aires,2020,50,0.0,,t+2
Buenos Aires,2020,51,1.0,,t+2
Buenos Aires,2020,52,0.0,,t+2
Buenos Aires,2020,53,0.0,,t+2
Buenos Aires,2021,1,0.0,,t+2
Buenos Aires,2021,2,0.0,,t+2
Buenos Aires,2021,3,0.0,,t+2
Buenos Aires,2021,4,0.0,,t+2
Buenos Aires,2021,5,0.0,,t+2
Buenos Aires,2021,6,0.0,,t+2
Buenos Aires,2021,7,0.0,,t+2
Buenos Aires,2021,8,0.0,,t+2
